Timestamp,Status,Confidence %
2026-01-05 15:48:01,No Mask,5.16
2026-01-05 15:48:01,No Mask,5.12
2026-01-05 15:48:01,No Mask,4.94
2026-01-05 15:48:01,No Mask,4.91
2026-01-05 15:48:01,No Mask,4.84
2026-01-05 15:48:01,No Mask,5.09
2026-01-05 15:48:01,No Mask,5.53
2026-01-05 15:48:02,No Mask,4.88
2026-01-05 15:48:02,No Mask,4.78
2026-01-05 15:48:02,No Mask,4.46
2026-01-05 15:48:02,No Mask,4.27
2026-01-05 15:48:02,No Mask,4.34
2026-01-05 15:48:03,No Mask,4.30
2026-01-05 15:48:03,No Mask,4.32
2026-01-05 15:48:03,No Mask,4.11
2026-01-05 15:48:03,No Mask,3.88
2026-01-05 15:48:03,No Mask,3.45
2026-01-05 15:48:03,No Mask,3.23
2026-01-05 15:48:04,No Mask,3.35
2026-01-05 15:48:04,No Mask,3.59
2026-01-05 15:48:04,No Mask,3.75
2026-01-05 15:48:04,No Mask,3.80
2026-01-05 15:48:04,No Mask,4.78
2026-01-05 15:48:04,No Mask,4.50
2026-01-05 15:48:05,No Mask,5.12
2026-01-05 15:48:05,No Mask,4.84
2026-01-05 15:48:05,No Mask,5.22
2026-01-05 15:48:05,No Mask,5.64
2026-01-05 15:48:05,No Mask,5.65
2026-01-05 15:48:05,No Mask,5.73
2026-01-05 15:48:06,No Mask,5.94
2026-01-05 15:48:06,No Mask,5.66
2026-01-05 15:48:06,No Mask,4.69
2026-01-05 15:48:06,No Mask,5.06
2026-01-05 15:48:06,No Mask,4.81
2026-01-05 15:48:07,No Mask,5.21
2026-01-05 15:48:07,No Mask,4.67
2026-01-05 15:48:07,No Mask,4.82
2026-01-05 15:48:07,No Mask,5.30
2026-01-05 15:48:07,No Mask,5.29
2026-01-05 15:48:07,No Mask,5.81
2026-01-05 15:48:08,No Mask,6.00
2026-01-05 15:48:08,No Mask,6.01
2026-01-05 15:48:08,No Mask,5.55
2026-01-05 15:48:08,No Mask,8.89
2026-01-05 15:48:08,No Mask,9.97
2026-01-05 15:48:08,No Mask,11.79
2026-01-05 15:48:09,No Mask,13.98
2026-01-05 15:48:09,No Mask,15.10
2026-01-05 15:48:09,No Mask,15.31
2026-01-05 15:48:09,No Mask,15.73
2026-01-05 15:48:09,No Mask,15.62
2026-01-05 15:48:09,No Mask,15.95
2026-01-05 15:48:10,No Mask,16.28
2026-01-05 15:48:10,No Mask,12.87
2026-01-05 15:48:10,No Mask,11.53
2026-01-05 15:48:10,No Mask,9.95
2026-01-05 15:48:10,No Mask,7.27
2026-01-05 15:48:10,No Mask,5.71
2026-01-05 15:48:11,No Mask,5.33
2026-01-05 15:48:11,No Mask,4.27
2026-01-05 15:48:11,No Mask,4.28
2026-01-05 15:48:11,No Mask,3.93
2026-01-05 15:48:11,No Mask,4.09
2026-01-05 15:48:11,No Mask,3.80
2026-01-05 15:48:12,No Mask,3.64
2026-01-05 15:48:12,No Mask,3.23
2026-01-05 15:48:12,No Mask,3.33
2026-01-05 15:48:12,No Mask,3.25
2026-01-05 15:48:12,No Mask,3.39
2026-01-05 15:48:12,No Mask,3.18
2026-01-05 15:48:13,No Mask,3.40
2026-01-05 15:48:13,No Mask,3.45
2026-01-05 15:48:13,No Mask,3.18
2026-01-05 15:48:13,No Mask,3.49
2026-01-05 15:48:13,No Mask,4.11
2026-01-05 15:48:13,No Mask,4.82
2026-01-05 15:48:14,No Mask,5.06
2026-01-05 15:48:14,No Mask,5.28
2026-01-05 15:48:14,No Mask,5.56
2026-01-05 15:48:14,No Mask,5.95
2026-01-05 15:48:14,No Mask,6.04
2026-01-05 15:48:14,No Mask,6.28
2026-01-05 15:48:15,No Mask,6.28
2026-01-05 15:48:15,No Mask,6.60
2026-01-05 15:48:15,No Mask,6.25
2026-01-05 15:48:20,No Mask,5.57
2026-01-05 15:48:20,No Mask,7.13
2026-01-05 15:48:20,No Mask,7.97
2026-01-05 15:48:20,No Mask,8.18
2026-01-05 15:48:21,No Mask,7.85
2026-01-05 15:48:21,No Mask,7.82
2026-01-05 15:48:21,No Mask,8.61
2026-01-05 15:48:21,No Mask,8.65
2026-01-05 15:48:21,No Mask,8.55
2026-01-05 15:48:21,No Mask,8.62
2026-01-05 15:48:22,No Mask,8.79
2026-01-05 15:48:22,No Mask,8.51
2026-01-05 15:48:22,No Mask,7.91
2026-01-05 15:48:22,No Mask,7.26
2026-01-05 15:48:22,No Mask,6.95
2026-01-05 15:48:22,No Mask,6.66
2026-01-05 15:48:23,No Mask,5.92
2026-01-05 15:48:23,No Mask,5.28
2026-01-05 15:48:23,No Mask,4.74
2026-01-05 15:48:23,No Mask,4.58
2026-01-05 15:48:23,No Mask,4.21
2026-01-05 15:48:23,No Mask,4.03
2026-01-05 15:48:24,No Mask,3.82
2026-01-05 15:48:24,No Mask,3.74
2026-01-05 15:48:24,No Mask,3.62
2026-01-05 15:48:24,No Mask,3.33
2026-01-05 15:48:24,No Mask,2.83
2026-01-05 15:48:24,No Mask,2.78
2026-01-05 15:48:25,No Mask,2.67
2026-01-05 15:48:25,No Mask,2.58
2026-01-05 15:48:25,No Mask,2.50
2026-01-05 15:48:25,No Mask,2.39
2026-01-05 15:48:25,No Mask,2.63
2026-01-05 15:48:25,No Mask,2.98
2026-01-05 15:48:25,No Mask,3.09
2026-01-05 15:48:26,No Mask,3.34
2026-01-05 15:48:26,No Mask,3.82
2026-01-05 15:48:26,No Mask,3.97
2026-01-05 15:48:26,No Mask,5.11
2026-01-05 15:48:26,No Mask,4.87
2026-01-05 15:48:26,No Mask,5.14
2026-01-05 15:48:27,No Mask,5.31
2026-01-05 15:48:27,No Mask,5.80
2026-01-05 15:48:27,No Mask,5.99
2026-01-05 15:48:27,No Mask,6.00
2026-01-05 15:48:27,No Mask,6.17
2026-01-05 15:48:27,No Mask,6.44
2026-01-05 15:48:28,No Mask,6.65
2026-01-05 15:48:28,No Mask,5.74
2026-01-05 15:48:28,No Mask,5.95
2026-01-05 15:48:28,No Mask,5.83
2026-01-05 15:48:28,No Mask,6.01
2026-01-05 15:48:28,No Mask,5.77
2026-01-05 15:48:29,No Mask,5.89
2026-01-05 15:48:29,No Mask,5.94
2026-01-05 15:48:29,No Mask,5.70
2026-01-05 15:48:29,No Mask,5.18
2026-01-05 15:48:29,No Mask,8.20
2026-01-05 15:48:29,No Mask,10.43
2026-01-05 15:48:30,No Mask,15.23
2026-01-05 15:48:30,No Mask,17.77
2026-01-05 15:48:30,No Mask,19.37
2026-01-05 15:48:30,No Mask,22.71
2026-01-05 15:48:30,No Mask,25.40
2026-01-05 15:48:30,No Mask,28.92
2026-01-05 15:48:31,No Mask,35.39
2026-01-05 15:48:31,No Mask,41.00
2026-01-05 15:48:31,No Mask,42.41
2026-01-05 15:48:31,No Mask,42.11
2026-01-05 15:48:31,No Mask,41.14
2026-01-05 15:48:31,No Mask,42.40
2026-01-05 15:48:31,No Mask,42.98
2026-01-05 15:48:32,No Mask,44.76
2026-01-05 15:48:32,No Mask,42.33
2026-01-05 15:48:32,No Mask,47.84
2026-01-05 15:48:32,No Mask,49.40
2026-01-05 15:48:32,No Mask,51.48
2026-01-05 15:48:32,No Mask,54.09
2026-01-05 15:48:33,No Mask,59.73
2026-01-05 15:48:33,No Mask,62.81
2026-01-05 15:48:33,No Mask,59.25
2026-01-05 15:48:33,No Mask,56.76
2026-01-05 15:48:33,No Mask,51.33
2026-01-05 15:48:33,No Mask,50.77
2026-01-05 15:48:34,No Mask,41.88
2026-01-05 15:48:34,No Mask,33.68
2026-01-05 15:48:34,No Mask,25.84
2026-01-05 15:48:34,No Mask,18.48
2026-01-05 15:48:34,No Mask,10.59
2026-01-05 15:48:34,No Mask,3.04
2026-01-05 15:48:35,No Mask,2.41
2026-01-05 15:48:35,No Mask,2.28
2026-01-05 15:48:35,No Mask,2.00
2026-01-05 15:48:35,No Mask,1.53
2026-01-05 15:48:35,No Mask,1.20
2026-01-05 15:48:35,No Mask,3.47
2026-01-05 15:48:35,No Mask,3.34
2026-01-05 15:48:36,No Mask,8.38
2026-01-05 15:48:36,No Mask,8.41
2026-01-05 15:48:36,No Mask,13.97
2026-01-05 15:48:36,No Mask,14.27
2026-01-05 15:48:36,No Mask,23.35
2026-01-05 15:48:36,No Mask,23.52
2026-01-05 15:48:36,No Mask,30.90
2026-01-05 15:48:36,No Mask,30.76
2026-01-05 15:48:37,No Mask,36.32
2026-01-05 15:48:37,No Mask,36.37
2026-01-05 15:48:37,No Mask,39.23
2026-01-05 15:48:37,No Mask,39.29
2026-01-05 15:48:37,No Mask,41.03
2026-01-05 15:48:37,No Mask,48.82
2026-01-05 15:48:38,No Mask,46.92
2026-01-05 15:48:39,No Mask,46.81
2026-01-05 15:48:39,No Mask,46.71
2026-01-05 15:48:39,No Mask,46.87
2026-01-05 15:48:39,No Mask,43.53
2026-01-05 15:48:39,No Mask,44.14
2026-01-05 15:48:39,No Mask,42.58
2026-01-05 15:48:39,No Mask,42.64
2026-01-05 15:48:39,No Mask,42.09
2026-01-05 15:48:39,No Mask,34.11
2026-01-05 15:48:40,No Mask,35.33
2026-01-05 15:48:40,No Mask,35.56
2026-01-05 15:48:40,No Mask,35.85
2026-01-05 15:48:40,No Mask,35.84
2026-01-05 15:48:40,No Mask,39.71
2026-01-05 15:48:40,No Mask,39.15
2026-01-05 15:48:40,No Mask,41.68
2026-01-05 15:48:41,No Mask,41.75
2026-01-05 15:48:41,No Mask,44.38
2026-01-05 15:48:41,No Mask,44.44
2026-01-05 15:48:41,No Mask,45.57
2026-01-05 15:48:41,No Mask,45.39
2026-01-05 15:48:41,No Mask,47.37
2026-01-05 15:48:41,No Mask,47.82
2026-01-05 15:48:41,No Mask,48.58
2026-01-05 15:48:42,No Mask,48.66
2026-01-05 15:48:42,No Mask,49.17
2026-01-05 15:48:42,No Mask,49.19
2026-01-05 15:48:42,No Mask,49.49
2026-01-05 15:48:42,No Mask,49.42
2026-01-05 15:48:42,No Mask,49.38
2026-01-05 15:48:42,No Mask,49.37
2026-01-05 15:48:42,No Mask,49.24
2026-01-05 15:48:43,No Mask,48.78
2026-01-05 15:48:43,No Mask,48.19
2026-01-05 15:48:43,No Mask,48.17
2026-01-05 15:48:43,No Mask,48.30
2026-01-05 15:48:43,No Mask,48.35
2026-01-05 15:48:43,No Mask,47.53
2026-01-05 15:48:43,No Mask,47.70
2026-01-05 15:48:43,No Mask,47.28
2026-01-05 15:48:44,No Mask,47.30
2026-01-05 15:48:44,No Mask,47.55
2026-01-05 15:48:44,No Mask,47.61
2026-01-05 15:48:44,No Mask,48.15
2026-01-05 15:48:44,No Mask,48.16
2026-01-05 15:48:44,No Mask,47.30
2026-01-05 15:48:44,No Mask,47.05
2026-01-05 15:48:44,No Mask,47.15
2026-01-05 15:48:45,No Mask,46.94
2026-01-05 15:48:45,No Mask,45.72
2026-01-05 15:48:45,No Mask,54.19
2026-01-05 15:48:45,No Mask,44.69
2026-01-05 15:48:45,No Mask,50.97
2026-01-05 15:48:45,No Mask,42.08
2026-01-05 15:48:45,No Mask,48.30
2026-01-05 15:48:46,No Mask,41.29
2026-01-05 15:48:46,No Mask,50.15
2026-01-05 15:48:46,No Mask,46.42
2026-01-05 15:48:46,No Mask,51.45
2026-01-05 15:48:46,No Mask,51.34
2026-01-05 15:48:47,No Mask,50.95
2026-01-05 15:48:47,No Mask,54.34
2026-01-05 15:48:47,No Mask,47.90
2026-01-05 15:48:47,No Mask,48.25
2026-01-05 15:48:47,No Mask,42.47
2026-01-05 15:48:47,No Mask,41.01
2026-01-05 15:48:48,No Mask,32.29
2026-01-05 15:48:48,No Mask,27.21
2026-01-05 15:48:48,No Mask,22.21
2026-01-05 15:48:48,No Mask,14.36
2026-01-05 15:48:48,No Mask,6.22
2026-01-05 15:48:48,No Mask,2.70
2026-01-05 15:48:49,No Mask,3.01
2026-01-05 15:48:49,No Mask,2.90
2026-01-05 15:48:49,No Mask,2.55
2026-01-05 15:48:49,No Mask,2.66
2026-01-05 15:48:49,No Mask,3.10
2026-01-05 15:48:49,No Mask,4.01
2026-01-05 15:48:50,No Mask,5.59
2026-01-05 15:48:50,No Mask,6.06
2026-01-05 15:48:50,No Mask,6.31
2026-01-05 15:48:50,No Mask,6.55
2026-01-05 15:48:50,No Mask,6.92
2026-01-05 15:48:50,No Mask,6.80
2026-01-05 15:48:51,No Mask,6.95
2026-01-05 15:48:51,No Mask,6.83
2026-01-05 15:48:51,No Mask,6.40
2026-01-05 15:48:51,No Mask,5.55
2026-01-05 15:48:51,No Mask,4.13
2026-01-05 15:48:51,No Mask,3.80
2026-01-05 16:08:25,No Mask,4.80
2026-01-05 16:09:49,No Mask,7.29
2026-01-05 16:14:08,No Mask,5.10
2026-01-05 16:14:21,No Mask,5.38
2026-01-05 16:14:30,No Mask,3.46
2026-01-05 16:14:41,No Mask,3.31
